State,English_Common_Name,Family
ALABAMA,Green Heron,Ardeidae
ALABAMA,Black-crowned Night-Heron,Ardeidae
ALABAMA,Yellow-crowned Night-Heron,Ardeidae
ALABAMA,Killdeer,Charadriidae
ALABAMA,Northern Bobwhite,Odontophoridae
ALABAMA,Rock Pigeon,Columbidae
ALABAMA,Mourning Dove,Columbidae
ALABAMA,Yellow-billed Cuckoo,Cuculidae
ALABAMA,Downy Woodpecker,Picidae
ALABAMA,Pileated Woodpecker,Picidae
ALABAMA,Red-bellied Woodpecker,Picidae
ALABAMA,(Yellow-shafted Flicker) Northern Flicker,Picidae
ALABAMA,Chuck-will's-widow,Caprimulgidae
ALABAMA,Eastern Whip-poor-will,Caprimulgidae
ALABAMA,Chimney Swift,Apodidae
ALABAMA,Eastern Kingbird,Tyrannidae
ALABAMA,Eastern Wood-Pewee,Tyrannidae
ALABAMA,Acadian Flycatcher,Tyrannidae
ALABAMA,Blue Jay,Corvidae
ALABAMA,American Crow,Corvidae
ALABAMA,European Starling,Sturnidae
ALABAMA,Brown-headed Cowbird,Icteridae
ALABAMA,Red-winged Blackbird,Icteridae
ALABAMA,Eastern Meadowlark,Icteridae
ALABAMA,Orchard Oriole,Icteridae
ALABAMA,Common Grackle,Icteridae
ALABAMA,American Goldfinch,Fringillidae
ALABAMA,Chipping Sparrow,Passerellidae
ALABAMA,Field Sparrow,Passerellidae
ALABAMA,Eastern Towhee,Passerellidae
ALABAMA,Northern Cardinal,Cardinalidae
ALABAMA,Blue Grosbeak,Cardinalidae
ALABAMA,Indigo Bunting,Cardinalidae
ALABAMA,Dickcissel,Cardinalidae
ALABAMA,Scarlet Tanager,Cardinalidae
ALABAMA,Summer Tanager,Cardinalidae
ALABAMA,Purple Martin,Hirundinidae
ALABAMA,Barn Swallow,Hirundinidae
ALABAMA,Loggerhead Shrike,Laniidae
ALABAMA,Red-eyed Vireo,Vireonidae
ALABAMA,White-eyed Vireo,Vireonidae
ALABAMA,Prairie Warbler,Parulidae
ALABAMA,Ovenbird,Parulidae
ALABAMA,Common Yellowthroat,Parulidae
ALABAMA,Yellow-breasted Chat,Icteriidae
ALABAMA,House Sparrow,Passeridae
ALABAMA,Northern Mockingbird,Mimidae
ALABAMA,Gray Catbird,Mimidae
ALABAMA,Brown Thrasher,Mimidae
ALABAMA,Carolina Wren,Troglodytidae
ALABAMA,Tufted Titmouse,Paridae
ALABAMA,Carolina Chickadee,Paridae
ALABAMA,Blue-gray Gnatcatcher,Polioptilidae
ALABAMA,Wood Thrush,Turdidae
ALABAMA,American Robin,Turdidae
ALABAMA,Eastern Bluebird,Turdidae
ALABAMA,Mallard,Anatidae
ALABAMA,Wood Duck,Anatidae
ALABAMA,Black Vulture,Cathartidae
ALABAMA,Common Nighthawk,Caprimulgidae
ALABAMA,Great Crested Flycatcher,Tyrannidae
ALABAMA,Grasshopper Sparrow,Passerellidae
ALABAMA,Cliff Swallow,Hirundinidae
ALABAMA,Northern Rough-winged Swallow,Hirundinidae
ALABAMA,Black-and-white Warbler,Parulidae
ALABAMA,Prothonotary Warbler,Parulidae
ALABAMA,Northern Parula,Parulidae
ALABAMA,White-breasted Nuthatch,Sittidae
ALABAMA,Hairy Woodpecker,Picidae
ALABAMA,Eastern Phoebe,Tyrannidae
ALABAMA,Baltimore Oriole,Icteridae
ALABAMA,Yellow-throated Warbler,Parulidae
ALABAMA,Cerulean Warbler,Parulidae
ALABAMA,Cattle Egret,Ardeidae
ALABAMA,Ruby-throated Hummingbird,Trochilidae
ALABAMA,Horned Lark,Alaudidae
ALABAMA,Yellow Warbler,Parulidae
ALABAMA,Pine Warbler,Parulidae
ALABAMA,Kentucky Warbler,Parulidae
ALABAMA,Turkey Vulture,Cathartidae
ALABAMA,Broad-winged Hawk,Accipitridae
ALABAMA,Blue-winged Warbler,Parulidae
ALABAMA,Bewick's Wren,Troglodytidae
ALABAMA,Red-headed Woodpecker,Picidae
ALABAMA,Yellow-throated Vireo,Vireonidae
ALABAMA,unid. Buteo hawk,Accipitridae
ALABAMA,Belted Kingfisher,Alcedinidae
ALABAMA,Barred Owl,Strigidae
ALABAMA,Great Horned Owl,Strigidae
ALABAMA,Red-tailed Hawk,Accipitridae
ALABAMA,American Kestrel,Falconidae
ALABAMA,Little Blue Heron,Ardeidae
ALABAMA,Sharp-shinned Hawk,Accipitridae
ALABAMA,Hooded Warbler,Parulidae
ALABAMA,Song Sparrow,Passerellidae
ALABAMA,American Redstart,Parulidae
ALABAMA,Fish Crow,Corvidae
ALABAMA,Cedar Waxwing,Bombycillidae
ALABAMA,Worm-eating Warbler,Parulidae
ALABAMA,Louisiana Waterthrush,Parulidae
ALABAMA,Canada Goose,Anatidae
ALABAMA,Great Blue Heron,Ardeidae
ALABAMA,House Finch,Fringillidae
ALABAMA,Warbling Vireo,Vireonidae
ALABAMA,Cooper's Hawk,Accipitridae
ALABAMA,Red-shouldered Hawk,Accipitridae
ALABAMA,Double-crested Cormorant,Phalacrocoracidae
ALABAMA,American Woodcock,Scolopacidae
ALABAMA,House Wren,Troglodytidae
ALABAMA,Eurasian Collared-Dove,Columbidae
ALABAMA,Lark Sparrow,Passerellidae
ALABAMA,Wild Turkey,Phasianidae
ALABAMA,Swainson's Warbler,Parulidae
ALABAMA,Tree Swallow,Hirundinidae
ALABAMA,Bachman's Sparrow,Passerellidae
ALABAMA,Eastern Screech-Owl,Strigidae
ALABAMA,Brown-headed Nuthatch,Sittidae
ALABAMA,Great Egret,Ardeidae
ALABAMA,Pied-billed Grebe,Podicipedidae
ALABAMA,American Coot,Rallidae
ALABAMA,Bank Swallow,Hirundinidae
ALABAMA,American Black Duck,Anatidae
ALABAMA,Least Bittern,Ardeidae
ALABAMA,Osprey,Pandionidae
ALABAMA,Herring Gull,Laridae
ALABAMA,Ring-billed Gull,Laridae
